,"WorkingCopyOwner","primaryBufferProvider","workingCopy","DefaultWorkingCopyOwner","createBuffer"
"WorkingCopyOwner",0,0,0,0,1
"primaryBufferProvider",0,0,0,2,1
"workingCopy",0,0,2,0,0
"DefaultWorkingCopyOwner",0,2,0,0,0
"createBuffer",1,1,0,0,2
