,"other","temp","valueOf","String","valueToString","doubleToLongBits","TickUnit","Double","minorTickCount","that","getSize","size","obj","hashCode","arg0","getMinorTickCount","value","object"
"other",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"temp",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"valueOf",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"valueToString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"doubleToLongBits",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TickUnit",0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0
"Double",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"minorTickCount",0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0
"that",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"getSize",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"size",0,1,0,0,0,0,8,0,0,1,1,2,0,0,1,0,0,0
"obj",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getMinorTickCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"object",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
