,"date","ValueTick","MAJOR","o1","o2","tickType","getTime","label","textAnchor","ObjectUtilities","equal","that","obj","hashCode","equals","rotationAnchor","angle","getDate","TickType","DateTick"
"date",1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,5
"ValueTick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MAJOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"o1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tickType",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTime",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"label",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"textAnchor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ObjectUtilities",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"equal",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"that",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"hashCode",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"equals",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"rotationAnchor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"angle",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getDate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TickType",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DateTick",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
