,"cursor","getCursor","LEFT","ticks","max","getMax","ArrayList","units","BOTTOM","AxisState","getTicks","TOP","RIGHT","RectangleEdge"
"cursor",6,1,0,0,0,0,0,0,0,11,0,0,0,0
"getCursor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEFT",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ticks",0,0,0,1,0,0,0,0,0,3,1,0,0,0
"max",0,0,0,0,1,1,0,0,0,2,0,0,0,0
"getMax",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"units",4,0,0,0,0,0,0,4,0,0,0,0,0,0
"BOTTOM",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AxisState",11,0,0,3,2,0,0,0,0,0,0,0,0,0
"getTicks",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOP",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RIGHT",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RectangleEdge",0,0,1,0,0,0,0,0,1,0,0,1,1,0
