,"ValueTick","getTickType","MAJOR","tickType","label","textAnchor","getValue","that","obj","equals","rotationAnchor","angle","Tick","TickType","value"
"ValueTick",0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
"getTickType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAJOR",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"tickType",3,1,0,1,0,0,0,1,1,1,0,0,0,0,0
"label",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"textAnchor",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"that",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"obj",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"equals",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"rotationAnchor",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"angle",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tick",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TickType",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"value",5,0,0,0,0,0,1,1,0,0,0,0,0,0,2
