,"o1","Serializable","o2","getText","getRotationAnchor","textAnchor","ObjectUtilities","equal","t","getAngle","obj","getTextAnchor","clone","rotationAnchor","angle","Tick","toString","text"
"o1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serializable",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"o2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getText",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRotationAnchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"textAnchor",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0
"ObjectUtilities",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"equal",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"t",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"getAngle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getTextAnchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clone",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"rotationAnchor",1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0
"angle",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0
"Tick",0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,4
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"text",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,1,1
