,"getAxesAtRight","add","getAxesAtTop","axesAtLeft","AxisCollection","LEFT","getAxesAtBottom","ArrayList","getAxesAtLeft","axesAtTop","BOTTOM","axis","axesAtBottom","axesAtRight","TOP","arg0","RIGHT","RectangleEdge"
"getAxesAtRight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"add",0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"getAxesAtTop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"axesAtLeft",0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"AxisCollection",0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0
"LEFT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getAxesAtBottom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"getAxesAtLeft",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"axesAtTop",0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOTTOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"axis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"axesAtBottom",0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"axesAtRight",1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIGHT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RectangleEdge",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
