,"format","valueToString","TickUnit","getNumberInstance","minorTickCount","NumberTickUnit","formatter","result","that","getSize","size","obj","hashCode","arg0","equals","toString","value","NumberFormat"
"format",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"valueToString",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"TickUnit",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"getNumberInstance",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"minorTickCount",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NumberTickUnit",0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0
"formatter",1,0,0,0,0,6,2,1,1,0,0,0,1,1,1,0,0,0
"result",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"that",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"getSize",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"size",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"hashCode",0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"NumberFormat",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
