,"LOG_10_VALUE","getLargerTickUnit","log","DecimalFormat","ceil","Math","NumberTickUnit","unit","getSize","size","getCeilingTickUnit","arg1","obj","arg0","equals","x","pow","higher"
"LOG_10_VALUE",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLargerTickUnit",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"log",0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
"DecimalFormat",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ceil",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
"Math",0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"NumberTickUnit",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"unit",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"getSize",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"size",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getCeilingTickUnit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"pow",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"higher",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
