,"parent","setSourceRangeEnd","AbstractDOMBuilder","buildingCompilationUnit","fLineStartPositions","fNode","type","pop","setCloseBodyRangeEnd","sourceCode","fStack","org.emftext.language.java.types.impl.IntImpl@4947851f","documentLength","normalize","DOMCompilationUnit","fDocument","end","bodyEnd","fBuildingCU","CompilationUnit","org.emftext.language.java.types.impl.IntImpl@f55cda3","basicAddChild","fBuildingType","lineSeparatorCount","length","start","i","positions","setCloseBodyRangeStart","push","getLineStart","peek","createCompilationUnit","finder","Stack","positionPlusOne","declarationEnd","cu","compilationUnit","size","contents","arg0","name","fAbort","iPlusOne","fFieldCount","child","buildingType"
"parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setSourceRangeEnd",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AbstractDOMBuilder",0,0,0,0,9,4,0,0,0,0,6,0,0,0,0,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"buildingCompilationUnit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fLineStartPositions",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fNode",0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"type",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pop",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"setCloseBodyRangeEnd",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sourceCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
