,"CompilationUnit","toCharArray","start","length","fFileName","String","fContents","substring","lastIndexOf","filename","file","contents","arg1","arg0","getMainTypeName","getContents","end","toString","fMainTypeName","getFileName"
"CompilationUnit",0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"toCharArray",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"start",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"length",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"fFileName",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"String",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"fContents",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"substring",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"lastIndexOf",0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
"filename",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"file",0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"contents",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getMainTypeName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getContents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"end",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fMainTypeName",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getFileName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
