,"msg","milliseconds","hours","getSleepTime","e","minutes","failOnError","msgLevel","Thread","sleep","Project","MSG_ERR","seconds","Sleep","arg0","MSG_VERBOSE","sleepTime","toString","BuildException","text","millis"
"msg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"milliseconds",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"hours",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getSleepTime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"minutes",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"failOnError",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"msgLevel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thread",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sleep",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Project",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"MSG_ERR",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"seconds",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Sleep",0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSG_VERBOSE",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"sleepTime",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"toString",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"text",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"millis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
