,"add","conn","c","URLProvider","FileUtils","openConnection","resources","rc","getURL","r","as","u","up","class","clazz","close"
"add",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"conn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URLProvider",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FileUtils",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"openConnection",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"resources",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rc",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getURL",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"r",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"as",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"u",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"up",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"class",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"clazz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"close",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
