,"msg","level","e","log","line","getMessageLevel","msgLevel","LogOutputStream","LineOrientedOutputStream","pc","task","RuntimeException","processBuffer"
"msg",0,0,0,0,0,0,0,0,0,0,0,0,0
"level",0,2,0,0,0,1,1,2,0,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0,0,1,0
"log",0,0,0,0,0,0,0,0,0,1,0,0,0
"line",1,0,0,0,1,0,0,0,0,0,0,0,0
"getMessageLevel",0,0,0,0,0,0,0,0,0,0,0,0,0
"msgLevel",0,0,0,0,0,0,0,0,0,0,0,0,0
"LogOutputStream",0,1,0,0,0,0,0,0,0,1,0,0,0
"LineOrientedOutputStream",0,0,0,0,0,0,0,0,0,0,0,0,1
"pc",0,0,0,1,0,0,0,2,0,1,0,0,0
"task",0,0,0,0,0,0,0,1,0,0,0,0,0
"RuntimeException",0,0,0,0,0,0,0,0,0,0,0,0,0
"processBuffer",0,0,0,0,0,0,0,0,1,0,0,0,0
