,"currentThread","newBuffer","getBuffer","Log","log","BufferChanging","editPane","PositionChanging","EditPaneUpdate","source","message","Thread","s","getStackTrace","urgency","arg0","m_buffer","toString","ERROR","Arrays","BUFFER_CHANGING"
"currentThread",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"newBuffer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getBuffer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Log",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"log",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BufferChanging",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"editPane",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PositionChanging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EditPaneUpdate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"source",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"message",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thread",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getStackTrace",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"urgency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_buffer",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"ERROR",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Arrays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BUFFER_CHANGING",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
