,"getPluginJAR","jEdit","getProperty","EBMessage","version","isExiting","exit","paramString","what","plugin","getSource","getPlugin","name","getPluginVersion","jar","PluginUpdate","getClassName","clazz","getWhat"
"getPluginJAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jEdit",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getProperty",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EBMessage",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"version",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"isExiting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exit",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"paramString",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"what",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
"plugin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getSource",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getPlugin",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"name",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getPluginVersion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jar",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PluginUpdate",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"getClassName",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"clazz",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getWhat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
