,"item","failureCountIs","TypeSafeMatcher","string","count","description","matches","hasSingleFailureContaining","hasFailureContaining","contains","isSuccessful","BaseMatcher","arg0","matchesSafely","toString","appendText","failureCount"
"item",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"failureCountIs",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"TypeSafeMatcher",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"string",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"count",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"description",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"matches",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hasSingleFailureContaining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hasFailureContaining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contains",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"isSuccessful",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BaseMatcher",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"matchesSafely",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"appendText",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"failureCount",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
