,"writeSignedWord","tagBits","offset","BranchLabel","forwardReferenceCount","length","i","forwardRefs","aLabel","addLabel","getPosition","codeStream","pos","classFileOffset","instructionPosition","CaseLabel","position","forwardReferences","value"
"writeSignedWord",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"tagBits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"offset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"BranchLabel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"forwardReferenceCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"length",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"forwardRefs",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"aLabel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"addLabel",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getPosition",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"codeStream",2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,9,4,0,0
"pos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"classFileOffset",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"instructionPosition",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
"CaseLabel",0,1,0,0,0,0,0,0,1,0,0,9,0,0,5,0,5,0,0
"position",0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,5,1,0,1
"forwardReferences",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
