,"c","diff","l","Math","when","getSize","r","comparisonResult","abs","size","getWhen","arg0","isSelected","evaluate"
"c",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"diff",0,0,0,0,0,0,0,2,0,0,0,1,0,0
"l",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Math",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"when",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"getSize",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"r",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"comparisonResult",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abs",0,0,0,1,0,0,0,1,0,0,0,0,0,0
"size",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"getWhen",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isSelected",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evaluate",0,0,0,0,1,0,0,0,0,0,0,0,1,0
