,"parent","infoCache","AssistSourceType","count","getElementInfo","typeName","occurrenceCount","type","Initializer","getType","arg0","get","AssistInitializer","bindingCache"
"parent",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"infoCache",0,1,1,0,0,0,0,0,0,0,0,1,3,0
"AssistSourceType",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"count",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"getElementInfo",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"typeName",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"occurrenceCount",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"type",0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Initializer",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getType",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"AssistInitializer",0,3,1,0,0,0,0,0,0,0,1,0,0,2
"bindingCache",0,0,1,0,0,0,0,0,0,0,0,0,2,1
