,"Locale","figure","getPresentationName","newRestoreData","ResourceBundleUtil","restoreTo","getDefault","getString","redo","locale","getLAFBundle","labels","AbstractUndoableEdit","undo","oldRestoreData","willChange","RestoreDataEdit","getRestoreData","restoreData","changed"
"Locale",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"figure",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,2
"getPresentationName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newRestoreData",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ResourceBundleUtil",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"restoreTo",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDefault",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getString",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"redo",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"locale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLAFBundle",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"labels",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AbstractUndoableEdit",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"undo",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"oldRestoreData",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"willChange",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RestoreDataEdit",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getRestoreData",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"restoreData",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"changed",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
