,"border","BorderRectangleFigure","borderComponent","g","getBounds","arg3","arg2","arg5","arg4","paintBorder","arg1","arg0","bounds","x","width","y","height"
"border",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BorderRectangleFigure",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"borderComponent",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"g",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getBounds",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"arg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"paintBorder",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bounds",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"x",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"width",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"y",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"height",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
