,"addFigureListener","e","oldToNew","getFigure","getTool","l","TextTool","target","p","contains","removeFigureListener","TextFigure","newText","LabelFigure","newTarget","arg0","get","getLabelFor","text","remap"
"addFigureListener",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"e",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oldToNew",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getFigure",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTool",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TextTool",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"target",1,0,0,0,1,0,1,1,0,0,3,0,0,5,0,1,0,2,0,0
"p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"contains",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"removeFigureListener",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"TextFigure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"newText",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LabelFigure",0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0
"newTarget",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getLabelFor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"text",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"remap",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
