,"owner","die","anEdit","oldLead","newLead","redo","setBounds","lead","that","AbstractUndoableEdit","undo","willChange","anchor","oldAnchor","newAnchor","SetBoundsEdit","changed"
"owner",1,0,0,0,0,0,2,0,2,0,0,2,0,0,0,3,2
"die",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"anEdit",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"oldLead",0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0
"newLead",0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0
"redo",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"setBounds",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"that",2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"AbstractUndoableEdit",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"undo",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"willChange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"anchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oldAnchor",0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0
"newAnchor",0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0
"SetBoundsEdit",3,1,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0
"changed",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
