,"owner","basicTransform","die","anEdit","tx","printStackTrace","inProgress","ty","redo","createInverse","canRedo","AbstractUndoableEdit","canUndo","undo","willChange","ex","CompositeTransformEdit","clone","isInProgress","changed"
"owner",1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2
"basicTransform",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"die",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"anEdit",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tx",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
"printStackTrace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"inProgress",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redo",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"createInverse",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"canRedo",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"AbstractUndoableEdit",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
"canUndo",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"undo",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"willChange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ex",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CompositeTransformEdit",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clone",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isInProgress",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"changed",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
