,"owner","newValue","die","anEdit","basicSetNode","BezierNodeEdit","index","redo","p","AbstractUndoableEdit","that","undo","willChange","oldValue","changed"
"owner",1,0,0,0,2,3,0,0,0,0,2,0,2,0,2
"newValue",0,2,0,0,0,2,0,0,1,0,1,0,0,0,0
"die",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"anEdit",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"basicSetNode",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BezierNodeEdit",3,2,1,0,0,0,3,0,0,0,0,0,0,2,0
"index",0,0,0,0,0,3,3,0,0,0,2,0,0,0,0
"redo",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AbstractUndoableEdit",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"that",2,1,1,0,0,0,2,0,0,0,0,0,0,1,0
"undo",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"willChange",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oldValue",0,0,0,0,0,2,0,0,1,0,1,0,0,2,0
"changed",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
