,"EMPTY_VALUES","NO_STRINGS","getExtraMarkerAttributeNames","DefaultProblem","getExtraMarkerAttributeValues","CharOperation"
"EMPTY_VALUES",0,0,0,1,1,0
"NO_STRINGS",0,0,1,0,0,1
"getExtraMarkerAttributeNames",0,0,0,0,0,0
"DefaultProblem",1,0,0,0,0,0
"getExtraMarkerAttributeValues",0,0,0,0,0,0
"CharOperation",0,1,0,0,0,0
