,"charArrayToStringArray","prefix","String","occurencesOf","Math","C_SPECIAL","org.emftext.language.java.types.impl.CharImpl@3abad4c3","concatWith","org.emftext.language.java.types.impl.CharImpl@7e023071","trim","patternEnd","endIndex","isJavaIdentifierPart","upperChars","org.emftext.language.java.types.impl.CharImpl@4701504f","replacedLength","org.emftext.language.java.types.impl.CharImpl@783ddd1b","org.emftext.language.java.types.impl.CharImpl@50ebefcf","org.emftext.language.java.types.impl.CharImpl@3bf2efae","outStart","isCaseSensitive","pSegmentEnd","compareWith","index","concat","nameChar","pSegmentStart","charNature","c1","C_DIGIT","c2","patternStart","org.emftext.language.java.types.impl.CharImpl@34115fe1","org.emftext.language.java.types.impl.CharImpl@29251095","size","toStrings","toBeFoundLength","org.emftext.language.java.types.impl.CharImpl@1112e1a9","splitOn","org.emftext.language.java.types.impl.IntImpl@4fae8a67","org.emftext.language.java.types.impl.CharImpl@58756e05","charToString","org.emftext.language.java.types.impl.CharImpl@74a58371","subarray","hash","fSegmentStart","charArrays","C_UPPER_LETTER","pattern","OBVIOUS_IDENT_CHAR_NATURES","C_JLS_SPACE","org.emftext.language.java.types.impl.CharImpl@1e7b7496","lastSegment","NO_CHAR_CHAR","arrayConcat","result","characters","min","NO_STRINGS","strings","org.emftext.language.java.types.impl.CharImpl@4b71b60f","pos","arraycopy","C_LOWER_LETTER","org.emftext.language.java.types.impl.CharImpl@39898639","NO_CHAR","pLength","org.emftext.language.java.types.impl.IntImpl@2ce4fd","c","max","secondStart","org.emftext.language.java.types.impl.CharImpl@5ab4ad61","isUpperCase","i","j","org.emftext.language.java.types.impl.CharImpl@4a7dabbc","toBeFound","org.emftext.language.java.types.impl.CharImpl@678528c8","nameStart","equals","lc","iName","org.emftext.language.java.types.impl.CharImpl@5fc4f74d","toString","subLength","first","patternChar","chars","samePartCount","fSegmentEnd","secondEnd","splitAndTrimOn","prefixStart","replaceOnCopy","replace","iPattern","compareTo","suffix","fSegmentRestart","second","prefixLength","org.emftext.language.java.types.impl.CharImpl@57598d6","startIndex","pSegmentRestart","split","pathSeparator","filepath","org.emftext.language.java.types.impl.CharImpl@6226356f","org.emftext.language.java.types.impl.CharImpl@5567788a","toElementLength","toUpperCase","org.emftext.language.java.types.impl.CharImpl@4b0039cb","starts","indexOf","org.emftext.language.java.types.impl.CharImpl@66f3c394","resultElement","sep2","replacementChars","MAX_OBVIOUS","Character","last","offset","wordCount","org.emftext.language.java.types.impl.CharImpl@4d398902","toBeReplaced","sep1","toLowerCase","count","freeTrailingDoubleStar","isWhitespace","separator","org.emftext.language.java.types.impl.CharImpl@1b26ab70","arg3","arg2","length1","arg4","prefixEquals","length3","length2","arg1","arg0","org.emftext.language.java.types.impl.CharImpl@6e008899","name","isDigit","replacementLength","org.emftext.language.java.types.impl.CharImpl@3610d755","toCopy","org.emftext.language.java.types.impl.CharImpl@350a3b22","toElement","fLength","toCopyLength","org.emftext.language.java.types.impl.CharImpl@11d93780","System","remove","lowerChars","CharOperation","array","hashCode","inStart","targetLength","pathMatch","end","segmentStart","charArray","ScannerHelper","org.emftext.language.java.types.impl.CharImpl@5e24eb9d","length","start","match","occurrenceCount","newTargetLength","org.emftext.language.java.types.impl.CharImpl@5ad32872","target","camelCaseMatch","deepCopy","org.emftext.language.java.types.impl.CharImpl@794db475","parseInt","Integer","lastIndexOf","nameEnd","fragment","arrayLength","third","nameLength","currentWord","org.emftext.language.java.types.impl.CharImpl@40aae1ec","array2","array1","org.emftext.language.java.types.impl.CharImpl@72dab517","replacementChar","append"
"charArrayToStringArray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prefix",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"occurencesOf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Math",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_SPECIAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.CharImpl@3abad4c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"concatWith",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.CharImpl@7e023071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
