,"area","o1","o2","seriesKey","LegendItemEntity","getSeriesKey","ObjectUtilities","getDataset","equal","that","obj","equals","clone","toString","ChartEntity","dataset","key"
"area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"o1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"seriesKey",0,1,1,0,4,1,0,0,0,1,0,0,0,1,0,0,0
"LegendItemEntity",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
"getSeriesKey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ObjectUtilities",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"getDataset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equal",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"that",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"obj",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"clone",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChartEntity",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"dataset",0,1,1,0,4,0,0,1,0,1,0,0,0,1,0,1,0
"key",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
