,"org.emftext.language.java.types.impl.LongImpl@2a1e6620","extraLength","source","ns2","flowInfo","ns4","ns3","org.emftext.language.java.types.impl.LongImpl@904d711","org.emftext.language.java.types.impl.LongImpl@51b688cb","org.emftext.language.java.types.impl.LongImpl@368dcb18","otherLength","mitigateNullInfoOf","id","org.emftext.language.java.types.impl.LongImpl@149a31a0","s1","s2","add","org.emftext.language.java.types.impl.LongImpl@76e7020a","s3","s4","upstream","NULL_FLAG_MASK","org.emftext.language.java.types.impl.LongImpl@3b7ee66a","org.emftext.language.java.types.impl.LongImpl@11935a0a","org.emftext.language.java.types.impl.LongImpl@2ecdeeb3","org.emftext.language.java.types.impl.LongImpl@1642fb52","ceil","arg3","arg2","unconditionalCopy","arg4","org.emftext.language.java.types.impl.LongImpl@179e26a0","arg1","arg0","vectorIndex","nullBit4","nullBit3","nullBit2","position","nullBit1","sourceLength","org.emftext.language.java.types.impl.LongImpl@1efd6d3a","other","org.emftext.language.java.types.impl.LongImpl@c27fd0f","nu2","nu4","maxFieldCount","nu3","System","local","nm2","org.emftext.language.java.types.impl.LongImpl@2e1468b9","org.emftext.language.java.types.impl.LongImpl@1f685ba6","nm1","arraycopy","extra","org.emftext.language.java.types.impl.LongImpl@7b63d005","org.emftext.language.java.types.impl.LongImpl@2093b20c","u1","u2","u3","org.emftext.language.java.types.impl.LongImpl@5ce7d521","u4","mask","org.emftext.language.java.types.impl.LongImpl@1fc1e46e","oldLength","tagBits","expression","org.emftext.language.java.types.impl.LongImpl@42608f5a","m1","BitCacheSize","m2","m3","length","nullS","i","j","org.emftext.language.java.types.impl.LongImpl@4125a4e3","unconditionalInits","m","org.emftext.language.java.types.impl.LongImpl@6ea09ed7","NullInfoRegistry","a2","a3","a4","org.emftext.language.java.types.impl.LongImpl@5b8e921a","org.emftext.language.java.types.impl.LongImpl@199d254b","x","toString","org.emftext.language.java.types.impl.LongImpl@629a4060","org.emftext.language.java.types.impl.LongImpl@27676b41"
"org.emftext.language.java.types.impl.LongImpl@2a1e6620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extraLength",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"source",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ns2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flowInfo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ns4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ns3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@904d711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@51b688cb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@368dcb18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
