,"parent","caughtException","recordNullityMismatch","initsOnContinue","ArrayList","localVariableNonNullComparedToNull","binding","IN_COMPARISON_NULL","trackingVar","flowInfo","recordExitAgainstResource","closeTracker","context","breakTargetsCount","innerFlowInfos","providedExpectedTypes","hasEscapingExceptions","UNBOXING","isPotentiallyNonNull","isContinuedTo","mergedWith","localVariableNullComparedToNonNull","markAsDefinitelyNonNull","org.emftext.language.java.types.impl.IntImpl@44876fe1","DEFER_NULL_DIAGNOSTIC","escapingExceptionCatchSites","recordHandlingException","mergedStatus","unconditionalCopy","problemReporter","UNREACHABLE_BY_NULLANALYSIS","field","size","UNREACHABLE_OR_DEAD","localVariableRedundantCheckOnNonNull","finalVariables","UnconditionalFlowInfo","nullLocals","localVariableRedundantNullAssignment","status","exceptionType","isPotentiallyNull","PREEMPT_NULL_DIAGNOSTIC","annotationName","isDefinitelyUnknown","FlowContext","local","potentiallyUnclosedCloseable","innerFlowContexts","current","IN_ASSIGNMENT","arraycopy","get","ASTNode","checkTypeWithoutHideNullWarning","finalAssignments","org.emftext.language.java.types.impl.IntImpl@15d882d9","tagBits","isDefinitelyNonNull","expression","localVariablePotentialNullReference","trackVar","Reference","EXIT_RESOURCE","isPotentiallyAssigned","i","nullCount","innerFlowContext","nullityMismatch","unconditionalInits","setReachMode","IN_COMPARISON_NON_NULL","nullStatus","StringBuffer","localVariableRedundantCheckOnNull","HIDE_NULL_COMPARISON_WARNING","recordUsingNullReference","unclosedCloseable","removeFinalAssignmentIfAny","individualToString","recordErrorLocation","toString","cannotBeDefinitelyNullOrNonNull","VariableBinding","initsOnBreak","addPotentialNullInfoFrom","UNREACHABLE","catchingContext","hasDefinitelyNoResource","associatedScope","currentScope","continueLabel","IN_INSTANCEOF","reference","unconditionalInitsWithoutSideEffect","nullReferences","requiredType","findMostSpecificStatus","EscapingExceptionCatchSite","CAN_ONLY_NON_NULL","assignCount","finalAssignment","buffer","getLocalParent","implicitConversion","LoopingFlowContext","checkType","add","TypeIds","reportRecordedErrors","breakLabel","inner","SwitchFlowContext","localVariableNullInstanceof","callerFlowInfo","arg4","upstreamNullFlowInfo","isClosedInFinallyOfEnclosing","arg0","localVariableNullReference","isDefinitelyNull","exceptionCount","expectedType","nullCheckTypes","CAN_ONLY_NULL","HIDE_NULL_COMPARISON_WARNING_MASK","System","isProtectedNonNull","FlowInfo","associatedNode","localVariableBinding","DEAD_END","targetContext","scope","otherInits","duplicateInitializationOfFinalLocal","isPotentiallyUnknown","getNonNullAnnotationName","innerFlowContextsCount","LabelFlowContext","length","initsWhenFalse","initsWhenTrue","reachMode","duplicateInitializationOfBlankFinalField","CONTEXT_MASK","LocalVariableBinding","environment","breakTargetContexts","variable","NON_NULL","location","providedType","append"
"parent",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"caughtException",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"recordNullityMismatch",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"initsOnContinue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"localVariableNonNullComparedToNull",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"binding",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IN_COMPARISON_NULL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trackingVar",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flowInfo",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
