,"SuiteMethodBuilder","suiteMethodBuilder","builders","junit4Builder","canUseSuiteMethod","junit3Builder","annotatedBuilder","JUnit3Builder","NullBuilder","asList","each","JUnit4Builder","AnnotatedBuilder","AllDefaultPossibilitiesBuilder","safeRunnerForClass","IgnoredBuilder","arg0","Arrays","testClass","runner","runnerForClass","ignoredBuilder"
"SuiteMethodBuilder",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"suiteMethodBuilder",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"builders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"junit4Builder",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"canUseSuiteMethod",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"junit3Builder",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"annotatedBuilder",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"JUnit3Builder",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NullBuilder",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asList",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"each",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"JUnit4Builder",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AnnotatedBuilder",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AllDefaultPossibilitiesBuilder",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"safeRunnerForClass",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"IgnoredBuilder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arrays",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"testClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"runner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"runnerForClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ignoredBuilder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
