,"getPrefix","ns","nsl","prefix","translateNamespacePrefixToUri","clear","nsFromUser","uri","put","node","nsFromContext","arg1","arg0","get","JDOMCoreNavigator","namespace","reset","getURI"
"getPrefix",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"ns",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"nsl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prefix",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"translateNamespacePrefixToUri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clear",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"nsFromUser",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"uri",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"put",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"node",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nsFromContext",0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"JDOMCoreNavigator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"namespace",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"reset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getURI",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
