,"NotVisible","InheritedNameHidesEnclosingName","FieldReference","resolveType","isValidBinding","SelectionNodeFound","printExpression","binding","source","ProblemReasons","NonStaticReferenceInConstructorInvocation","NonStaticReferenceInStaticContext","output","SelectionOnFieldReference","pos","scope","problemId","append"
"NotVisible",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"InheritedNameHidesEnclosingName",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FieldReference",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"resolveType",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isValidBinding",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SelectionNodeFound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"printExpression",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"binding",0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,4,0
"source",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ProblemReasons",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"NonStaticReferenceInConstructorInvocation",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"NonStaticReferenceInStaticContext",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"output",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"SelectionOnFieldReference",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"pos",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"problemId",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
