,"SelectionNodeFound","Argument","resolve","indent","printExpression","posNom","binding","used","modifiers","SelectionOnArgumentName","type","typeBinding","output","print","bind","scope","arg0","name","initialization","tr","append"
"SelectionNodeFound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argument",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"resolve",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indent",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"printExpression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"posNom",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"binding",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"used",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"modifiers",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SelectionOnArgumentName",0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0
"type",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"typeBinding",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"output",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
"print",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"bind",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"name",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"initialization",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"tr",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
