,"LocalDeclaration","sourceEnd","SelectionNodeFound","printAsExpression","resolve","indent","SelectionOnLocalName","printExpression","binding","sourceStart","modifiers","type","output","printStatement","print","scope","arg0","name","initialization","append"
"LocalDeclaration",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sourceEnd",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SelectionNodeFound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"printAsExpression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"resolve",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indent",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SelectionOnLocalName",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,0
"printExpression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"binding",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"sourceStart",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"modifiers",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"type",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"output",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4
"printStatement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"print",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"scope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"name",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"initialization",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,2
