,"Scanner","org.emftext.language.java.types.impl.CharImpl@35c45f6c","selectionStart","withoutUnicodePtr","TokenNameIdentifier","currentPosition","length","selectionEnd","sourceLevel","source","SelectionScanner","startPosition","getCurrentIdentifierSource","System","arg4","withoutUnicodeBuffer","arraycopy","arg1","arg0","scanIdentifierOrKeyword","org.emftext.language.java.types.impl.CharImpl@755bcf83","id","selectionIdentifier"
"Scanner",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"org.emftext.language.java.types.impl.CharImpl@35c45f6c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"selectionStart",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"withoutUnicodePtr",0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"TokenNameIdentifier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"currentPosition",0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"selectionEnd",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"sourceLevel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"source",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"SelectionScanner",0,0,2,3,0,3,0,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0,4
"startPosition",0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
"getCurrentIdentifierSource",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"System",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"arg4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"withoutUnicodeBuffer",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"arraycopy",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scanIdentifierOrKeyword",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"org.emftext.language.java.types.impl.CharImpl@755bcf83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"id",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"selectionIdentifier",0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
