,"getVersion","licence","getClass","getName","getInfo","licenceName","version","library","getLicenceName","obj","hashCode","arg0","equals","name","Library","info"
"getVersion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"licence",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getClass",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInfo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"licenceName",0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0
"version",1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
"library",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"getLicenceName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"name",0,0,0,1,0,0,0,2,0,0,2,1,1,2,7,0
"Library",0,0,0,0,0,3,3,0,0,0,0,0,0,7,0,3
"info",0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2
