,"data","correct","m_ClassPriors","m_SumPriorAbsErr","ArrayList","m_WithClass","m_SumAbsErr","evaluation","m_MissingClass","costMatrix","m_TrainClassWeights","m_ComplexityStatisticsAvailable","m_SumClassPredicted","m_Unclassified","m_MarginCounts","m_Predictions","m_TotalCost","add","Evaluation","m_Correct","newClassPriors","m_TrainClassVals","m_SumSqrPredicted","predsToAdd","m_NumTrainClassVals","newMarginCounts","m_NoPriors","m_SumPriorSqrErr","m_TotalCoverage","eval","size","newMatrix","m_CoverageStatisticsAvailable","arg0","m_PriorEstimator","m_SumKBInfo","totalCost","m_SumSchemeEntropy","unclassified","m_SumPriorEntropy","m_ConfusionMatrix","aggregate","m_SumPredicted","m_Header","confusionMatrix","get","m_SumClass","m_SumErr","AggregateableEvaluation","m_ClassPriorsSum","m_SumSqrClass","incorrect","m_Incorrect","length","i","j","m_CostMatrix","m_MinTarget","m_MaxTarget","m_TotalSizeOfRegions","m_SumSqrErr"
"m_ConfusionMatrix",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"aggregate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_SumPredicted",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_Header",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"confusionMatrix",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_SumClass",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_SumErr",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AggregateableEvaluation",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_ClassPriorsSum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
