,"m_logMessage","log","m_statusMessage","m_experimentFinished","finished","message","m_messageString","status"
"m_logMessage",0,0,0,0,0,0,0,0
"log",1,0,0,0,0,0,0,0
"m_statusMessage",0,0,0,0,0,0,0,0
"m_experimentFinished",0,0,0,0,0,0,0,0
"finished",0,0,0,1,0,0,0,0
"message",0,0,0,0,0,0,1,0
"m_messageString",0,0,0,0,0,0,0,0
"status",0,0,1,0,0,0,0,0
