,"listOptions","m_RankingLosses","org.emftext.language.java.types.impl.IntImpl@330be266","String","getStdDev","getDefaultStdDevWidth","getPrintRowNames","getDisplayRow","prec","trim","getSummaryTitle","getMeanWidth","wins","getRowCount","m_ColOrder","m_RankingDiff","m_RankingWins","size","LOSS_STRING","org.emftext.language.java.types.impl.IntImpl@7447f7c8","SIGNIFICANCE_TIE","doubleToString","isStdDev","org.emftext.language.java.types.impl.IntImpl@31b9ac39","valueExists","matrix","getDefaultPrintColNames","result","getRowNameWidth","org.emftext.language.java.types.impl.IntImpl@1b30c030","isInfinite","pos","getDefaultMeanPrec","tmpResult","isAverage","getDefaultRemoveFilterName","key","org.emftext.language.java.types.impl.DoubleImpl@608da2c1","set","getVisibleColCount","d","i","j","m_ColNames","n","org.emftext.language.java.types.impl.DoubleImpl@393dbc0c","org.emftext.language.java.types.impl.BooleanImpl@5be9adf5","s","getStdDevPrec","Utils","x","y","toString","rowIndex","getShowAverage","org.emftext.language.java.types.impl.IntImpl@10acfc61","isNaN","SIGNIFICANCE_LOSS","getRowOrder","getFlag","add","getShowStdDev","getDefaultColNameWidth","count","org.emftext.language.java.types.impl.IntImpl@4e610cf0","getEnumerateColNames","org.emftext.language.java.types.impl.IntImpl@3cbb6569","m_EnumerateRowNames","arg1","arg0","getDefaultEnumerateColNames","name","m_MeanPrec","getDefaultShowStdDev","hidden","show","LEFT_PARENTHESES","replaceAll","remove","System","avg","m_StdDevWidth","removeFilterName","enumerate","NaN","cols","org.emftext.language.java.types.impl.IntImpl@7682f02","length","padString","isRowName","getDisplayCol","currentPrec","getColHidden","Integer","parseInt","m_ShowAverage","print","SIGNIFICANCE_WIN","clone","m_ColHidden","org.emftext.language.java.types.impl.IntImpl@3a00233e","org.emftext.language.java.types.impl.IntImpl@6d0c467f","m_CountWidth","m_StdDevPrec","getPrintColNames","getRowHidden","type","getSignificanceCount","getColCount","getVisibleRowCount","options","toArray","WIN_STRING","afterDecimalPoint","Vector","getCount","order","org.emftext.language.java.types.impl.IntImpl@63e8a934","getRowName","ii","m_Mean","index","getStdDevWidth","getColSize","m_ColNameWidth","org.emftext.language.java.types.impl.DoubleImpl@2dd9e74c","m_RowNameWidth","getOptions","org.emftext.language.java.types.impl.IntImpl@11a5a805","m_PrintRowNames","getDefaultPrintRowNames","get","nonSigWins","m_SignificanceWidth","err","org.emftext.language.java.types.impl.IntImpl@48ff79cf","m_RowNames","getDefaultStdDevPrec","m_RemoveFilterName","m_MeanWidth","elements","width","m_ShowStdDev","m_Significance","m_RowOrder","m_HeaderKeys","m_Counts","col","RIGHT_PARENTHESES","getColNameWidth","data","getDefaultMeanWidth","getOption","getEnumerateRowNames","trimString","org.emftext.language.java.types.impl.BooleanImpl@50b38528","getDefaultSignificanceWidth","getDefaultEnumerateRowNames","indexOf","getSignificance","getColName","m_EnumerateColNames","m_StdDev","isMean","m_Wins","Double","m_PrintColNames","getMeanPrec","m_HeaderValues","getColOrder","getMean","Option","m_RowHidden","addElement","tmpStr","nn","org.emftext.language.java.types.impl.IntImpl@2249ec8d","getRemoveFilterName","getDefaultCountWidth","getAverage","substring","getHeader","println","m_NonSigWins","row","value","getDefaultRowNameWidth","isSignificance","TIE_STRING","org.emftext.language.java.types.impl.IntImpl@19ce62b7","toStringMatrix","rows","getCountWidth","headerKeys","getDefaultShowAverage","getSignificanceWidth"
"listOptions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_RankingLosses",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@330be266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getStdDev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDefaultStdDevWidth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getPrintRowNames",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDisplayRow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
