,"getIconWidth","borderColor","ColorIcon","c","shadow","Color","g","drawLine","fillRect","fillColor","red","arg3","arg2","getIconHeight","Colors","setColor","arg1","arg0","x","y"
"getIconWidth",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
"borderColor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ColorIcon",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"shadow",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Color",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"g",0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0
"drawLine",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"fillRect",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"fillColor",0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"red",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"arg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getIconHeight",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
"Colors",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setColor",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0
"y",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0
