,"getIconWidth","StrokeIcon","g","Color","black","gr","drawLine","stroke","arg3","arg2","getIconHeight","setColor","arg1","arg0","x","y","setStroke"
"getIconWidth",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"StrokeIcon",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"g",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"Color",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"black",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"gr",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drawLine",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stroke",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"arg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getIconHeight",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"setColor",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"y",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"setStroke",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
