,"getEditor","editor","AbstractEditorAction","newValue","Action","ZoomEditorAction","scaleFactor","label","getDrawingViews","setScaleFactor","NAME","button","arg1","v","arg0","getView","DEFAULT","updateAllViews","setText"
"getEditor",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"editor",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AbstractEditorAction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"ZoomEditorAction",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"scaleFactor",0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"label",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"getDrawingViews",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setScaleFactor",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"NAME",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"button",0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getView",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DEFAULT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"updateAllViews",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"setText",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
