,"editor","newValue","Action","scaleFactor","label","setScaleFactor","NAME","button","view","AbstractViewAction","ZoomAction","arg1","arg0","getView","DEFAULT","setText"
"editor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Action",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"scaleFactor",0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0
"label",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"setScaleFactor",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NAME",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"button",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1
"view",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AbstractViewAction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZoomAction",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getView",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DEFAULT",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"setText",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
