,"FieldTypeInfo","getFieldID","rout","getTypeID","o","s","ti","hashCode","arg0","equals","typeID","fti","tag","writeString","write","fieldID"
"FieldTypeInfo",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"getFieldID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rout",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"getTypeID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ti",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"hashCode",0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2
"typeID",3,0,0,1,2,0,1,1,0,2,1,1,0,0,1,0
"fti",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"tag",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"writeString",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"write",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"fieldID",3,1,0,0,0,1,1,1,2,2,0,1,0,0,0,1
