,"RIOType","TypeID","typeVal","typeIDKey","b","writeByte","mti","MapTypeID","typeIDValue","rout","o","getValueTypeID","hashCode","equals","getKeyTypeID","tag","MAP","write"
"RIOType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TypeID",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"typeVal",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"typeIDKey",0,0,0,1,0,0,1,3,0,0,1,0,1,1,1,0,0,1
"b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"writeByte",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"mti",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MapTypeID",0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"typeIDValue",0,0,0,0,0,0,1,3,1,0,1,1,1,1,0,0,0,1
"rout",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"o",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"getValueTypeID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0
"equals",0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"getKeyTypeID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"MAP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"write",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
