,"TypeID","typeVal","getClass","getTypeVal","b","writeByte","hashCode","equals","rout","tag","oTypeID","o"
"TypeID",0,2,1,0,0,0,0,0,0,0,0,0
"typeVal",2,1,0,1,1,0,1,2,0,0,1,0
"getClass",1,0,0,0,0,0,0,0,0,0,0,1
"getTypeVal",0,0,0,0,0,0,0,0,0,0,0,0
"b",0,0,0,0,0,0,0,0,0,0,0,0
"writeByte",0,0,0,0,0,0,0,0,1,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0
"rout",0,0,0,0,0,1,0,0,0,0,0,0
"tag",0,0,0,0,0,0,0,0,0,1,0,0
"oTypeID",0,1,0,0,0,0,0,0,0,0,0,0
"o",0,0,1,0,0,0,0,0,0,0,1,0
