,"app","getApplication","newValue","evt","PropertyChangeListener","AbstractApplicationAction","valueOf","createApplicationListener","applicationListener","l","removePropertyChangeListener","enabled","arg2","arg1","isEnabled","arg0","oldValue","addPropertyChangeListener","Boolean","getPropertyName"
"app",2,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0
"getApplication",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newValue",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"evt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PropertyChangeListener",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AbstractApplicationAction",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"valueOf",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0
"createApplicationListener",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"applicationListener",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"removePropertyChangeListener",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"enabled",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isEnabled",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oldValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"addPropertyChangeListener",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boolean",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"getPropertyName",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
