,"getSplitDim","m_NodesRectBounds","m_SplitValue","nodeNum","m_End","nodeRanges","m_Left","startidx","RevisionUtils","m_NodeNumber","m_SplitDim","extract","endidx","getSplitValue","isALeaf","numInstances","rectBounds","m_Start","m_NodeRanges","getRevision"
"getSplitDim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_NodesRectBounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_SplitValue",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"nodeNum",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"m_End",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"nodeRanges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"m_Left",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"startidx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RevisionUtils",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"m_NodeNumber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_SplitDim",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extract",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"endidx",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getSplitValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isALeaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numInstances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rectBounds",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_Start",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"m_NodeRanges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRevision",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
