,"ClassFileConstants","org.emftext.language.java.types.impl.CharImpl@2c3dc3c0","ImportReference","CompletionOnKeyword2","possibleKeywords","indent","getPossibleKeywords","org.emftext.language.java.types.impl.LongImpl@67df1ed1","printIndent","token","output","print","pos","getToken","arg0","AccDefault","append"
"ClassFileConstants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"org.emftext.language.java.types.impl.CharImpl@2c3dc3c0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ImportReference",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CompletionOnKeyword2",0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0
"possibleKeywords",0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"indent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"getPossibleKeywords",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@67df1ed1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"printIndent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"token",0,1,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0
"output",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"print",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getToken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AccDefault",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
