,"resolve","indent","MethodDeclaration","length","thrownExceptions","i","modifiers","output","upperScope","print","CompletionNodeFound","CompletionOnMethodName","compilationResult","arg0","selector","arguments","append"
"resolve",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indent",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MethodDeclaration",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"length",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"thrownExceptions",0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0
"i",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"modifiers",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"output",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7
"upperScope",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"print",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"CompletionNodeFound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CompletionOnMethodName",0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,3,0
"compilationResult",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"selector",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"arguments",0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0
"append",0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2
