,"ClassFileConstants","TokenNameMULTIPLY","TokenNameOR","INVALID_ESCAPE","TokenNameRBRACE","TokenNameAND_AND","TokenNameStringLiteral","completedIdentifierEnd","getHexadecimalValue","isWhiteSpace","NO_COMPLETION_INSIDE_UNICODE","TokenNamePLUS","TokenNameLESS","scanIdentifierOrKeyword","id","currentPosition","org.emftext.language.java.types.impl.CharImpl@383b143","index","TokenNameRIGHT_SHIFT_EQUAL","TokenNameAND_EQUAL","NO_COMPLETION_INSIDE_NUMBER","c1","c2","C_DIGIT","jumpOverUnicodeWhiteSpace","c3","TokenNameCOMMA","c4","NO_COMPLETION_INSIDE_COMMENT","UNTERMINATED_COMMENT","getCurrentTokenSourceString","INVALID_HIGH_SURROGATE","TokenNamePLUS_PLUS","unicodeCharSize","TokenNameEQUAL_EQUAL","completedIdentifierStart","TokenNameMULTIPLY_EQUAL","completionIdentifier","TokenNameMINUS","checkIfUnicode","OBVIOUS_IDENT_CHAR_NATURES","C_IDENT_START","TokenNameXOR_EQUAL","getNextToken","endOfEmptyToken","TokenNameRBRACKET","low","arraycopy","scanNumber","INVALID_CHARACTER_CONSTANT","TokenNameQUESTION","TokenNameREMAINDER","c","TokenNameRPAREN","isJavaIdentifierStart","TokenNameREMAINDER_EQUAL","e","TokenNameDOT","INVALID_UNICODE_ESCAPE","returnOnlyGreater","getMessage","TokenNameOR_EQUAL","lastCommentLinePosition","commentEnd","TokenNameLEFT_SHIFT","token","TokenNameSEMICOLON","TokenNameXOR","getNextUnicodeChar","equals","whiteStart","TokenNameERROR","wasAcr","tokenizeComments","commentStart","withoutUnicodePtr","TokenNameDIVIDE_EQUAL","eofPosition","source","startPosition","TokenNameEQUAL","InvalidCursorLocation","TokenNameLBRACE","TokenNameOR_OR","JDK1_5","isJavaIdStart","dotPrefix","high","withoutUnicodeBuffer","TokenNameMINUS_EQUAL","unicodeAsBackSlash","commentPtr","INVALID_LOW_SURROGATE","TokenNameEOF","TokenNameRIGHT_SHIFT","EmptyCompletionIdentifier","TokenNameLPAREN","TokenNameLBRACKET","InvalidInputException","TokenNameIdentifier","MAX_OBVIOUS","offset","TokenNameELLIPSIS","test","Character","isWhitespace","currentCharacter","tokenizeWhiteSpace","CompletionScanner","unicodeChar","arg4","TokenNameUNSIGNED_RIGHT_SHIFT_EQUAL","taskTags","isJavadoc","arg1","arg0","complianceLevel","isDigit","TokenNameCOLON","TokenNameCharacterLiteral","TokenNameGREATER","TokenNameTWIDDLE","Scanner","TokenNameUNSIGNED_RIGHT_SHIFT","TokenNameGREATER_EQUAL","TokenNameCOMMENT_BLOCK","sourceLevel","System","CharOperation","cursorLocation","org.emftext.language.java.types.impl.CharImpl@3a48e11a","TokenNameAT","lookAhead","diet","TokenNameCOMMENT_JAVADOC","temp","TokenNamePLUS_EQUAL","ScannerHelper","previous","isFirstTag","TokenNameNOT_EQUAL","getNextChar","UNTERMINATED_STRING","TokenNameCOMMENT_LINE","length","start","INVALID_CHAR_IN_STRING","org.emftext.language.java.types.impl.CharImpl@11d43f55","getCurrentIdentifierSource","TokenNameNOT","commentTagStarts","TokenNameAND","recordLineSeparator","firstTag","org.emftext.language.java.types.impl.CharImpl@107a43ce","TokenNameLESS_EQUAL","TokenNameWHITESPACE","TokenNameMINUS_MINUS","TokenNameLEFT_SHIFT_EQUAL","TokenNameDIVIDE"
"ClassFileConstants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TokenNameMULTIPLY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TokenNameOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INVALID_ESCAPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TokenNameRBRACE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TokenNameAND_AND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TokenNameStringLiteral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"completedIdentifierEnd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getHexadecimalValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isWhiteSpace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
