,"CompletionOnJavadocTypeParamReference","sourceEnd","completionFlags","getCompletionFlags","indent","printExpression","start","flags","sourceStart","token","output","pos","JavadocSingleTypeReference","name","end","tagSourceStart","append","typeRef"
"CompletionOnJavadocTypeParamReference",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sourceEnd",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"completionFlags",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getCompletionFlags",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indent",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"printExpression",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"start",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"flags",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sourceStart",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"token",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"output",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"pos",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"JavadocSingleTypeReference",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"name",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"end",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"tagSourceStart",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"append",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"typeRef",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0
