,"msg","getClass","systemId","InputSource","in","PUBLIC_ID","getResourceAsStream","getClassLoader","resolveEntity","org.emftext.language.java.types.impl.ByteImpl@6c4f741e","warn","ByteArrayInputStream","arg0","equals","endsWith","LogLog","clazz","publicId"
"msg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"systemId",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"InputSource",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"in",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUBLIC_ID",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getResourceAsStream",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"getClassLoader",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"resolveEntity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.ByteImpl@6c4f741e",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"warn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ByteArrayInputStream",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"endsWith",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LogLog",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"clazz",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"publicId",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
