,"m_reset","m_legendText","max","getMax","dataPoint","lt","getReset","source","m_min","dp","m","EventObject","min","getMin","m_dataPoint","getLegendText","reset","legendText","m_max","getDataPoint"
"m_reset",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_legendText",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"max",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getMax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dataPoint",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"lt",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getReset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"source",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"m_min",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"dp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"m",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"EventObject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"min",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"getMin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_dataPoint",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getLegendText",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"reset",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"legendText",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_max",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDataPoint",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
