,"m_currentInstance","c","scheme","m_classifier","i","source","getStatus","EventObject","structure","getClassifier","getCurrentInstance","s","getStructure","m_status","currentI","NEW_BATCH","status","m_structure"
"m_currentInstance",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"c",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scheme",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_classifier",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"i",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"source",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"getStatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EventObject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"structure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"getClassifier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getCurrentInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getStructure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_status",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"currentI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW_BATCH",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"status",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"m_structure",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
