,"maxSetNum","m_testOrTrain","tstI","scheme","m_maxSetNumber","setNum","getSetNumber","m_clusterer","source","EventObject","TRAINING","TEST","m_testSet","getClusterer","getTestOrTrain","getTestSet","m_setNumber","getMaxSetNumber"
"maxSetNum",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_testOrTrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"tstI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"scheme",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"m_maxSetNumber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"setNum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getSetNumber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_clusterer",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"source",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"EventObject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAINING",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEST",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_testSet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getClusterer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTestOrTrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTestSet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_setNumber",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"getMaxSetNumber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
