,"Locale","argument","MessageFormat","messageFormat","replace","format","getDefault","getString","String","message","getBundle","System","out","BUNDLE_NAME","println","arg1","arg0","ResourceBundle","RESOURCE_BUNDLE","key"
"Locale",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"argument",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MessageFormat",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"messageFormat",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"replace",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"format",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"getDefault",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"getString",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"message",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getBundle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"System",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"out",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"BUNDLE_NAME",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"println",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ResourceBundle",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RESOURCE_BUNDLE",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"key",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
