,"a","other","getCompressionName","toString","ContentTransformingResource"
"a",0,0,0,0,0
"other",1,0,0,0,0
"getCompressionName",0,0,0,1,0
"toString",0,0,0,1,1
"ContentTransformingResource",0,0,0,1,0
