,"add","getCollection","rcs","ArrayList","hs","al","remove","r","getResourceCollections","size","arg0","BuildException","HashSet"
"add",0,0,0,0,1,1,0,0,0,0,0,0,0
"getCollection",0,0,0,0,0,0,0,0,0,0,0,0,0
"rcs",0,0,0,0,0,0,0,0,0,1,0,0,0
"ArrayList",0,0,0,0,0,1,0,0,0,0,0,0,0
"hs",1,0,0,0,0,0,0,0,0,0,0,0,0
"al",1,1,0,0,0,0,1,0,0,0,0,0,0
"remove",0,0,0,0,0,1,0,0,0,0,0,0,0
"r",0,0,0,0,0,0,0,0,0,0,3,0,0
"getResourceCollections",0,0,1,0,0,0,0,0,0,0,0,0,0
"size",0,0,1,0,0,0,0,0,0,1,0,2,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0
"HashSet",0,0,0,0,1,0,0,0,0,0,0,0,0
