,"next","cachedResources","add","filteringIterator","FilteringIterator","CachedIterator","hasNext","it","getResourceCollection","iterator","getSize","r","createIterator","size","arg0","get","cusrsor"
"next",1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
"cachedResources",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"add",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"filteringIterator",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FilteringIterator",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"CachedIterator",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"hasNext",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"it",3,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0
"getResourceCollection",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"iterator",0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
"getSize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"r",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"createIterator",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"size",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cusrsor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
