,"next","add","getCollection","rcs","ArrayList","hasNext","al","result","rc","iterator","r","getResourceCollections","size","addAll","arg0","BuildException","collect","retainAll"
"next",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"add",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getCollection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rcs",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"hasNext",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"al",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"result",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"rc",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"iterator",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"r",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getResourceCollections",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"size",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"addAll",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"collect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"retainAll",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
